"State","County","Median Income","Population","COVID Cases","COVID per million","Unemployment","Percent of adults with less than a high school diploma","Percent of adults with a high school diploma only","Percent of adults completing some college degree","Percent of adults with a bachelor's degree or higher"
"Maine","Penobscot",42053,153414,31,202.067607910621,3.8,8.4,33.6,30.9,27.1
"Maine","Sagadahoc",51325,35045,13,370.951633613925,2.7,5.9,30.1,28.5,35.5
"Maine","Somerset",38142,51163,4,78.1814983484159,4.8,12.1,40.2,31.2,16.5
"Maine","Waldo",40912,39051,5,128.037694297201,3.5,7.6,32.6,30.3,29.6
"Maine","Washington",40378,31808,1,31.4386317907445,4.9,11.6,39,28.5,20.8
"Maine","York",52068,200710,115,572.965970803647,3,7,30.6,31.1,31.4
"Maryland","Allegany",40517,72952,7,95.9535036736484,5.5,10,41.9,29.8,18.3
"Maryland","Anne Arundel",67363,560133,370,660.557403330995,3.3,7.9,23.8,27.4,40.9
"Maryland","Baltimore",61556,826925,652,788.463282643529,4,8.9,26.2,26.3,38.6
"Maryland","Calvert",62591,90613,41,452.473706863254,3.5,6.1,30.3,32.4,31.1
"Maryland","Caroline",45906,32538,11,338.066260987153,3.8,16.1,40.7,26.4,16.9
"Maryland","Carroll",63039,167830,159,947.387237085146,3.2,7.8,29.9,26.7,35.6
"Maryland","Cecil",47695,102383,41,400.457107136927,4.4,11,37.7,28.5,22.8
"Maryland","Charles",57051,154747,136,878.853871157438,3.9,6.9,31.4,32.8,28.9
"Maryland","Dorchester",46562,32578,3,92.0866842654552,5.2,13.1,39.4,26.7,20.8
"Maryland","Frederick",61869,243675,151,619.677849594747,3.5,7.6,24.3,27.5,40.6
"Maryland","Garrett",45595,29679,3,101.081572829273,4.8,10.7,43.8,25.4,20.1
"Maryland","Harford",58841,250105,59,235.900921612923,3.6,7.2,26.6,30.4,35.8
"Maryland","Howard",78416,309284,236,763.052728236831,3,4.5,14,20.2,61.4
"Maryland","Kent",61497,19820,8,403.632694248234,4.3,12,28.6,25.2,34.2
"Maryland","Montgomery",89690,1030447,871,845.264239694036,3.2,8.7,13.3,18.9,59
"Maryland","Prince George's",49420,904430,1020,1127.78213902679,4.1,13.5,25.7,28.2,32.7
"Maryland","Queen Anne's",64810,48804,15,307.351856405213,3.3,7.9,29.6,27.7,34.9
"Maryland","Somerset",31562,25859,4,154.685022622685,6.9,18.1,40.3,26,15.7
"Maryland","St. Mary's",56820,110382,46,416.734612527405,3.8,10.2,30,28.4,31.5
"Maryland","Talbot",73232,37643,8,212.522912626518,3.7,9.4,25.6,26.4,38.6
"Maryland","Washington",47092,149573,44,294.170739371411,4.3,13.1,36.4,29.1,21.4
"Maryland","Wicomico",42054,101539,17,167.42335457312,5.2,11.9,32.5,28.8,26.8
"Maryland","Worcester",60007,51675,10,193.51717464925,8,9.1,31.6,28.8,30.4
"Massachusetts","Barnstable",74756,214914,405,1884.47472012061,4.3,4.5,24.3,28.4,42.8
"Massachusetts","Berkshire",56503,128715,278,2159.81043390436,4,8.9,29.9,27.9,33.4
"Massachusetts","Bristol",54089,554194,768,1385.79630959556,4.3,15.1,29.9,27,28
"Massachusetts","Essex",67507,769091,1841,2393.7349416389,3.4,10.7,25.2,24.7,39.4
"Massachusetts","Franklin",54689,70862,118,1665.20843329288,3,6.9,28,27.9,37.2
"Massachusetts","Hampden",51187,468161,997,2129.60925835343,4.6,14.7,29.5,28.7,27.2
"Massachusetts","Hampshire",52984,160939,158,981.738422632177,3,5.6,23.6,24.3,46.5
"Massachusetts","Middlesex",83795,1570315,3187,2029.52910721734,2.7,6.9,19.6,18.4,55.2
"Massachusetts","Norfolk",92285,692254,1592,2299.73391269678,3,6.1,19.5,21.4,53
"Massachusetts","Plymouth",67505,507022,1194,2354.92739960002,3.5,7.1,27.9,28.3,36.7
"Massachusetts","Suffolk",81152,767254,3245,4229.36863150925,3,14.5,22.4,18.3,44.8
"Massachusetts","Worcester",57003,813475,1172,1440.73265927041,3.5,9.6,28.1,26.3,35.9
"Michigan","Allegan",45182,113847,18,158.106932989012,3.3,9.3,37.8,30.1,22.7
"Michigan","Antrim",47070,23267,6,257.87596166244,5.6,8.5,32,31.3,28.2
"Michigan","Arenac",37369,15353,3,195.401550185631,7.1,12.6,42.3,33.4,11.8
"Michigan","Barry",44919,59281,7,118.081678784096,3.4,7.3,37.8,34.7,20.1
"Michigan","Bay",41722,106179,31,291.959803727667,4.8,10.4,34.7,36,18.9
"Michigan","Berrien",47430,155233,64,412.283470653791,4.3,10.4,28.9,33,27.7
"Michigan","Branch",37622,43545,16,367.435985761856,3.7,10.9,41.3,33.6,14.2
"Michigan","Calhoun",40276,134878,43,318.806625246519,4.2,8.9,36.4,33.5,21.2
"Michigan","Cass",44994,51608,9,174.391567198884,4.1,12.1,33.2,35.6,19.1
"Michigan","Charlevoix",52885,26121,8,306.266988247004,4.7,6.4,29.5,33,31
"Michigan","Cheboygan",40080,25675,10,389.483933787731,9.2,9.4,37.9,32.1,20.5
"Michigan","Chippewa",34269,38321,1,26.0953524177344,6.6,10.2,35,33.8,21
"Michigan","Clare",34120,30652,2,65.2485971551612,6.1,15.3,38.2,34.4,12.1
"Michigan","Clinton",46518,77297,73,944.409226748774,3.2,5.8,27,35.7,31.4
"Michigan","Crawford",34648,13745,5,363.768643142961,6,11,33.8,36.5,18.8
"Michigan","Delta",40551,36559,7,191.471320331519,5.3,6.1,33.3,39.1,21.5
"Michigan","Dickinson",49397,25957,2,77.0505066070809,3.8,5.2,33.8,34.5,26.5
"Michigan","Eaton",42693,108579,61,561.80292690115,3.5,6.1,28,39.1,26.8
"Michigan","Emmet",57115,33204,14,421.635947476208,5.9,6.2,24.5,35.6,33.7
"Michigan","Genesee",41068,412895,638,1545.18703302292,4.9,9.6,31.9,37.6,20.9
"Michigan","Gladwin",36874,25411,4,157.412144346936,5.6,13.3,39.6,33.3,13.8
"Michigan","Gogebic",39945,15737,3,190.633538793925,5.1,6.7,37.6,35.9,19.8
"Michigan","Grand Traverse",50639,90782,15,165.230992928113,3.7,4.8,24.4,35.7,35.1
"Michigan","Gratiot",37834,41665,6,144.005760230409,4.7,9.4,40.4,36.1,14
"Michigan","Hillsdale",36598,45830,55,1200.08727907484,4,11.7,38.5,32.8,17
"Michigan","Houghton",37674,36495,1,27.401013837512,5.1,7.2,33.7,25.9,33.2
"Michigan","Huron",45425,32065,4,124.746608451583,4.6,11.1,42.2,31.3,15.5
"Michigan","Ingham",40761,284582,189,664.131954937417,3.6,7.3,21.7,32.5,38.5
"Michigan","Ionia",35273,64294,9,139.981957880984,3.4,9.9,39.6,34.4,16.1
"Michigan","Iosco",37970,25420,4,157.3564122738,6.4,11.1,37.8,34.9,16.3
"Michigan","Isabella",35501,70616,22,311.544125977116,3.9,8.4,31.5,31,29.2
"Michigan","Jackson",39832,159741,114,713.655229402595,3.9,9.4,33,36.3,21.4
"Michigan","Kalamazoo",48723,258818,64,247.278010030214,3.4,6.4,22,33.5,38.1
"Michigan","Kalkaska",34623,17394,10,574.910888812234,5.9,13.3,41.4,33.5,11.9
"Michigan","Kent",53935,629237,187,297.185321270046,3,9.7,24.4,30.7,35.2
"Michigan","Lapeer",43679,88153,56,635.259151702154,5.2,9.3,35.7,37.2,17.8
"Michigan","Leelanau",67320,21915,3,136.892539356605,4.2,4.8,21.8,30.6,42.8
"Michigan","Lenawee",39600,99047,32,323.078942320313,4.1,9.2,37.1,32.8,20.9
"Michigan","Livingston",58326,185596,155,835.14730920925,3.3,4.6,25.9,34.7,34.8
"Michigan","Luce",31827,6426,1,155.617802676626,6.2,12,38.5,33.2,16.3
"Michigan","Mackinac",44457,11042,3,271.689911247962,9.7,9.8,34.3,34.1,21.8
"Michigan","Macomb",46530,860112,2414,2806.6112320256,4,10.3,29.7,35.4,24.5
"Michigan","Manistee",38814,24420,9,368.550368550369,5.7,9.4,36.1,34.5,20
"Michigan","Marquette",40036,67676,19,280.74945327738,4.9,4.7,31.5,32.3,31.5
"Michigan","Mason",41667,28824,1,34.6933111296142,4.9,7.6,33.5,35.7,23.2
"Michigan","Mecosta",34252,43186,8,185.245218357801,5,10.5,36.2,31.4,21.9
"Michigan","Midland",60467,83427,22,263.703597156796,4,5.7,29,31.2,34
"Michigan","Missaukee",34972,15037,1,66.5026268537607,5,11.2,42,33.6,13.2
"Michigan","Monroe",47496,149824,129,861.010252029047,4.2,8.8,36.1,36,19.1
"Michigan","Montcalm",34972,62893,16,254.40033072043,4.2,12.1,39.9,35,13
"Michigan","Muskegon",39072,172344,41,237.896300422411,4.5,9.2,34.5,37.3,19.1
"Michigan","Newaygo",38037,47900,3,62.6304801670146,4.3,13.2,40.3,30.6,15.9
"Michigan","Oakland",72741,1237868,3736,3018.09239757389,3.3,6.1,18.8,28.7,46.4
"Michigan","Oceana",37950,26221,3,114.412112428969,6.1,14.1,35.4,31.7,18.8
"Michigan","Ogemaw",35396,21039,3,142.592328532725,7,14.5,39,34.5,12.1
"Michigan","Osceola",36023,23169,3,129.483361388062,4.4,11.8,44.3,30.1,13.8
"Michigan","Oscoda",33896,8371,2,238.920081232828,6.4,16.7,37.6,35,10.7
"Michigan","Otsego",40589,24158,28,1159.03634406822,5.2,7.9,33.9,34,24.2
"Michigan","Ottawa",49418,276292,52,188.206679889392,2.8,7.4,28.6,30.6,33.5
"Michigan","Presque Isle",39004,13004,1,76.8994155644417,8,10.9,39.4,32.4,17.3
"Michigan","Roscommon",37141,23955,6,250.469630557295,7.8,10.1,40.7,34.3,14.9
"Michigan","Saginaw",38754,195012,153,784.567103562858,4.8,10.5,33.6,34.8,21.1
"Michigan","Sanilac",38004,41587,17,408.781590400846,5.1,12.1,41.5,32.2,14.2
"Michigan","Shiawassee",39435,68933,24,348.164159401158,4.3,7.6,36.3,39,17.2
"Michigan","St. Clair",44316,160078,129,805.857144641987,4.7,9.5,34.4,37.8,18.3
"Michigan","St. Joseph",38866,60946,14,229.711547927674,3.7,12.9,38.2,33.2,15.7
"Michigan","Tuscola",37979,54000,26,481.481481481482,5.5,10.7,41.7,34,13.6
"Michigan","Van Buren",41123,75199,17,226.06683599516,4.8,12.8,31.9,34.4,20.9
"Michigan","Washtenaw",59363,356874,559,1566.37917023936,3,4.8,14.9,25.1,55.2
"Michigan","Wayne",42942,1764804,9045,5125.21503804388,5.2,14.1,30,32.5,23.3
"Michigan","Wexford",36454,32886,7,212.856534695615,4.7,10.5,36.8,34.8,17.9
"Minnesota","Anoka",51258,341864,42,122.855872510706,2.8,6.1,27.9,36.3,29.7
"Minnesota","Beltrami",41565,45664,6,131.394533987386,4.1,8.7,28.1,35.2,28.1
"Minnesota","Benton",43830,39506,1,25.312610742672,3.5,7.6,31.1,38.8,22.6
"Minnesota","Big Stone",57221,5127,1,195.045835771406,3.8,9.8,43.5,31.7,15
"Minnesota","Blue Earth",44383,65385,22,336.468609008182,2.5,5.9,26.7,33.8,33.6
"Minnesota","Brown",52995,25292,7,276.76735726712,3.4,7.4,37.6,34.6,20.4
"Minnesota","Carlton",43098,35571,13,365.466250597397,4.1,5.9,34.2,37.5,22.5
"Minnesota","Carver",71350,97338,10,102.734800386283,2.5,3.6,19,29.3,48.1
"Minnesota","Cass",47443,28559,3,105.045694877272,5.1,8.3,33.2,36.1,22.4
"Minnesota","Chisago",48750,54025,5,92.5497454881999,3.4,5.7,33.9,40,20.5
"Minnesota","Clay",43180,61286,19,310.021864699931,2.9,5.1,25.4,36,33.5
"Minnesota","Clearwater",44001,8791,2,227.505403253327,8.1,14.3,35,34.6,16.1
"Minnesota","Cottonwood",47982,11633,5,429.811742456804,3.6,9.6,35.4,33.8,21.2
"Minnesota","Crow Wing",45610,63265,9,142.258752864933,3.9,6.3,30.3,39.1,24.3
"Minnesota","Dakota",60651,412529,71,172.109112329073,2.5,5.1,20.6,32.4,41.8
"Minnesota","Dodge",47984,20353,11,540.460865720041,3,5.2,34.7,35.8,24.4
"Minnesota","Douglas",53665,36790,1,27.1812992661049,2.8,5,29.6,40,25.4
"Minnesota","Faribault",43343,14192,3,211.386696730552,3.5,8.4,38.2,35.5,17.8
"Minnesota","Freeborn",45808,30840,14,453.955901426719,3.2,10.1,37.3,35.8,16.7
"Minnesota","Goodhue",53549,46423,12,258.492557568447,2.7,5.7,32.9,36.4,25
"Minnesota","Hennepin",74698,1212064,310,255.762071969797,2.5,6.8,16.7,27.3,49.2
"Minnesota","Houston",52354,18738,1,53.36748852599,2.9,5.4,33.6,37.1,24
"Minnesota","Isanti",44049,38413,4,104.131413844271,3.7,8.3,33.8,40.2,17.7
"Minnesota","Itasca",43685,45589,2,43.8702318541754,5.4,6.4,30.2,40.6,22.7
"Minnesota","Jackson",53276,10269,1,97.380465478625,2.9,6.9,34.2,36.9,22
"Minnesota","Kandiyohi",54667,42285,2,47.2980962516259,2.9,11.5,25.8,39.3,23.4
"Minnesota","Koochiching",41890,12856,1,77.7846919726198,6.1,7.7,36,38.7,17.6
"Minnesota","Le Sueur",48799,27770,20,720.20165646381,4.1,7.2,34.9,35.5,22.4
"Minnesota","Lincoln",48520,5788,2,345.542501727712,3,8.7,38.3,34.7,18.4
"Minnesota","Lyon",49455,25665,4,155.854276251705,2.9,8,33.1,33.5,25.4
"Minnesota","Mahnomen",36950,5505,1,181.653042688465,4.6,13.1,37.9,36.8,12.2
"Minnesota","Martin",50083,20220,34,1681.50346191889,3.1,7.3,38.1,34.5,20.1
"Minnesota","McLeod",49136,35882,1,27.8691265815729,3.1,7,36.4,38.7,17.9
"Minnesota","Meeker",43944,23107,1,43.2769290691133,3.5,7.4,36.3,37.6,18.8
"Minnesota","Mower",48423,39323,18,457.7473743102,2.7,13.1,31.6,33.7,21.7
"Minnesota","Murray",54825,8470,1,118.063754427391,3.7,9.6,37.5,34.1,18.9
"Minnesota","Nicollet",49605,33093,4,120.87148339528,2.2,5.8,26.7,35,32.6
"Minnesota","Olmsted",58554,150287,103,685.355353423783,2.3,5.6,19.8,30.6,44
"Minnesota","Otter Tail",48275,57635,2,34.7011364622191,3.6,7.7,29.3,37.8,25.1
"Minnesota","Pipestone",58004,9281,1,107.747010020472,2.9,12.4,34.6,31.7,21.4
"Minnesota","Polk",48820,31704,1,31.5417612919505,3.7,8.1,32.3,35.5,24.1
"Minnesota","Ramsey",54934,532655,101,189.616168063756,2.7,9.9,20.9,27.3,41.9
"Minnesota","Redwood",49732,15515,1,64.4537544311956,3.6,9.2,38.4,33.9,18.6
"Minnesota","Renville",51432,15025,2,133.111480865225,3.9,10.8,36.3,38.5,14.4
"Minnesota","Rice",44096,65151,4,61.3958342926433,2.8,9.5,31,31.9,27.5
"Minnesota","Scott",59687,139672,16,114.554098172862,2.5,5.2,22.6,32.8,39.3
"Minnesota","Sherburne",47031,91126,10,109.738164738933,3.2,5.5,27.8,39.3,27.4
"Minnesota","Sibley",46632,14918,1,67.0331143584931,3.2,9.1,39.2,35,16.7
"Minnesota","St. Louis",47417,200949,17,84.5985797391378,3.7,5.8,28,37.5,28.7
"Minnesota","Stearns",47196,152912,6,39.2382546824317,2.9,8,27.9,36.3,27.8
"Minnesota","Steele",47604,36573,8,218.740600989801,2.9,8.4,34.3,32.3,25
"Minnesota","Swift",51320,9436,1,105.977108944468,3.7,10.3,33.5,38.3,18
"Minnesota","Traverse",61255,3387,2,590.493061706525,3.2,8,34.6,40.4,17
"Minnesota","Wabasha",48724,21362,6,280.872577474019,2.9,7.8,34.5,35.7,21.9
"Minnesota","Waseca",44556,19025,3,157.687253613666,4.1,6.9,35.8,36.8,20.5
"Minnesota","Washington",67928,249283,68,272.782339750404,2.5,4,21.1,31.6,43.2
"Minnesota","Watonwan",42979,11083,4,360.913110168727,3.5,16.6,41.2,26.9,15.3
"Minnesota","Wilkin",59516,6495,2,307.929176289453,3,6.1,29.7,40.7,23.5
"Minnesota","Winona",50036,51097,16,313.12992935006,2.6,7,27.4,35.8,29.8
"Minnesota","Wright",50181,129918,12,92.365953909389,3,5.5,29.1,37,28.4
"Minnesota","Yellow Medicine",57186,10109,1,98.9217528934613,3,8.7,35.5,39.7,16.1
"Mississippi","Adams",33880,31737,24,756.215143208243,6.2,21.6,34.6,26,17.8
"Mississippi","Alcorn",36003,37380,6,160.513643659711,4.1,18.5,32.6,32.5,16.4
"Mississippi","Amite",33460,12629,7,554.279832132394,6,20.3,40.7,25.9,13.1
"Mississippi","Attala",33809,19163,15,782.758440745186,5.7,23.4,31.3,31.7,13.6
"Mississippi","Benton",30285,8296,5,602.700096432015,5.6,30.1,33.9,25.6,10.3
"Mississippi","Bolivar",38213,33768,54,1599.14712153518,6.1,23.1,24.7,28.5,23.8
"Mississippi","Calhoun",33043,14745,10,678.195998643608,4.3,22.9,37.1,28.6,11.3
"Mississippi","Carroll",37615,10254,7,682.660425199922,5.5,18.3,33.4,33.8,14.5
"Mississippi","Chickasaw",34805,17313,15,866.400970369087,5,27.7,37,22.9,12.4
"Mississippi","Choctaw",33646,8294,9,1085.12177477695,4.8,19.6,38,24.8,17.7
"Mississippi","Claiborne",31494,9080,3,330.396475770925,9.2,22.6,30.5,27.8,19.1
"Mississippi","Clarke",36431,16299,10,613.53457267317,5.6,19,36.4,32.9,11.7
"Mississippi","Clay",39191,20225,10,494.437577255871,6,18.4,33.9,27.6,20.1
"Mississippi","Coahoma",33915,24807,30,1209.3360744951,6.8,21.3,24.5,37.1,17.1
"Mississippi","Copiah",33203,28797,17,590.339271451887,5.5,20.1,33.2,32.6,14.2
"Mississippi","Covington",35748,19442,7,360.045262833042,4.4,16.9,37.3,28.3,17.4
"Mississippi","DeSoto",40702,170913,140,819.130200745409,3.8,10.3,29.7,35.9,24.1
"Mississippi","Forrest",38880,76330,59,772.959517882877,4.4,13,26.6,32.7,27.6
"Mississippi","Franklin",33970,7833,5,638.325035107877,6,15.7,35.1,33.9,15.3
"Mississippi","George",32529,23303,5,214.564648328541,6.4,18.3,38.9,30.1,12.6
"Mississippi","Greene",28716,14326,1,69.8031551026106,6.2,22.9,35.6,32.9,8.6
"Mississippi","Grenada",35632,21666,8,369.242130527093,4.3,20,27.6,32.7,19.7
"Mississippi","Hancock",35262,45949,31,674.661037236937,5,13.4,27.2,36.3,23.2
"Mississippi","Harrison",37303,199058,89,447.105868641301,4.5,12.9,29.4,35.4,22.3
"Mississippi","Hinds",39311,243729,169,693.393071813367,4.6,13,24.8,33.1,29.1
"Mississippi","Holmes",28371,18459,25,1354.35289018907,8.9,24.9,41.2,24,9.9
"Mississippi","Humphreys",31864,8741,5,572.016931701178,8.4,28.8,32.8,24,14.4
"Mississippi","Itawamba",34734,23527,5,212.521783482807,4.1,21.5,30.2,34.8,13.4
"Mississippi","Jackson",37499,141137,108,765.213941064356,5.5,11.1,31.5,36.6,20.8
"Mississippi","Jasper",37281,16601,4,240.949340401181,5.8,16.9,37.2,31.4,14.5
"Mississippi","Jefferson",33098,7599,3,394.788787998421,13.3,25.2,36.1,23.7,15
"Mississippi","Jones",38122,68290,14,205.008053887831,4.8,16.7,30.5,32.2,20.5
"Mississippi","Kemper",29287,10163,10,983.961428711994,7.4,16.7,37.5,34.8,11
"Mississippi","Lafayette",42110,52930,25,472.321934630644,3.9,10.5,18.8,26.7,43.9
"Mississippi","Lamar",40529,60099,18,299.505815404582,3.6,9.2,23.5,32.1,35.2
"Mississippi","Lauderdale",37959,79739,78,978.191349277016,5,14.5,28.8,36.7,20
"Mississippi","Lawrence",34616,12502,5,399.936010238362,6,16.8,37.3,30.3,15.6
"Mississippi","Leake",31436,23193,15,646.746863277713,4.9,22.7,36.6,27.9,12.8
"Mississippi","Lee",41934,85246,38,445.768716420712,3.9,16.2,25,34.9,23.9
"Mississippi","Leflore",36399,31422,26,827.445738654446,6.8,21.2,36.5,24.8,17.5
"Mississippi","Lincoln",38682,34775,21,603.882099209202,4.7,13.4,37.4,33.2,16
"Mississippi","Lowndes",38498,59730,16,267.872091076511,4.8,14.2,31.5,30.7,23.7
"Mississippi","Madison",64033,101688,82,806.388167728739,3.7,8.2,16.6,27.6,47.7
"Mississippi","Marion",34526,25868,13,502.551414875522,5.1,20.7,39.7,27.5,12.1
"Mississippi","Marshall",32341,36234,24,662.361318099023,5,18.7,40.1,27.5,13.7
"Mississippi","Monroe",34664,36003,18,499.958336805266,4.9,18.9,35.8,28.1,17.2
"Mississippi","Montgomery",34180,10400,12,1153.84615384615,5.3,20.5,34.3,24.9,20.4
"Mississippi","Neshoba",36604,29465,12,407.262854233837,4.9,21.8,34,32,12.2
"Mississippi","Newton",34645,21832,7,320.630267497252,4.9,15.3,30.5,37.5,16.6
"Mississippi","Noxubee",32805,11115,5,449.842555105713,6.7,27.8,32.2,26.4,13.5
"Mississippi","Oktibbeha",34367,49414,29,586.878212652285,4.7,9.5,20.4,26.6,43.5
"Mississippi","Panola",32496,34444,19,551.620020903496,5.9,21.6,37.8,25.7,14.9
"Mississippi","Pearl River",36230,55224,56,1014.05186150949,4.7,16,29.9,37.7,16.4
"Mississippi","Perry",31934,12227,14,1145.00695182792,5.9,18.7,40.1,30.2,11
"Mississippi","Pike",31048,40058,31,773.877877078237,5.7,18.3,35.6,30.5,15.5
"Mississippi","Pontotoc",32996,30950,12,387.722132471729,3.9,23.4,30.3,30.4,15.9
"Mississippi","Prentiss",30743,25428,10,393.267264432909,4.3,21.3,33.7,32.8,12.2
"Mississippi","Quitman",27088,7678,9,1172.18025527481,7.6,29.4,30.2,29.1,11.4
"Mississippi","Rankin",44661,148070,78,526.777875329236,3.4,10.5,26.3,34,29.2
"Mississippi","Scott",32095,28461,32,1124.34559572749,3.9,25.7,35.5,26.1,12.7
"Mississippi","Sharkey",32070,4647,3,645.577792123951,7,26.3,24.2,30.9,18.7
"Mississippi","Simpson",37036,27463,7,254.888395295488,4.5,22,33.2,32.2,12.6
"Mississippi","Smith",35791,16188,11,679.515690635038,4.4,18.4,42,27.1,12.5
"Mississippi","Stone",31516,17875,3,167.832167832168,5.4,19.7,34.1,31.7,14.5
"Mississippi","Sunflower",30859,27496,25,909.223159732325,7.8,27.1,29.5,28,15.4
"Mississippi","Tallahatchie",27757,14761,3,203.238262990312,5.3,31.1,31.6,25.9,11.4
"Mississippi","Tate",35182,28204,18,638.207346475677,4.9,18.4,32.6,31.6,17.4
"Mississippi","Tippah",33919,22039,36,1633.46794319161,4.3,22.4,35.9,26.2,15.5
"Mississippi","Tishomingo",33559,19420,1,51.4933058702369,4.6,20.9,41,28.1,10
"Mississippi","Tunica",32425,10598,17,1604.07624080015,5.3,18.5,31.1,33.6,16.8
"Mississippi","Union",32242,28097,6,213.545930170481,3.5,22.2,31.6,31.5,14.8
"Mississippi","Walthall",31757,14859,14,942.189918567871,6.5,19.5,45.8,21.3,13.4
"Mississippi","Warren",39580,47983,7,145.885000937832,5.5,12.8,31.2,32.7,23.3
"Mississippi","Washington",37568,48958,40,817.026839331672,7.1,21.5,30.5,29.2,18.8
"Mississippi","Wayne",34775,20490,5,244.021473889702,5.4,21.3,37.7,24.9,16
"Mississippi","Webster",38464,9972,12,1203.36943441637,5,15.4,36.8,30.5,17.3
"Mississippi","Wilkinson",29413,9191,32,3481.66684800348,8.5,28,40.3,17.9,13.8
"Mississippi","Winston",35742,18478,17,920.01298841866,5.6,20.2,32.5,30.7,16.6
"Mississippi","Yalobusha",36729,12276,11,896.057347670251,5,16.9,38.5,30.5,14.2
"Mississippi","Yazoo",27275,27817,32,1150.37566955459,5.5,22.7,37.2,25.5,14.6
"Missouri","Adair",33578,25602,11,429.653933286462,3.5,9.4,35.8,24.8,30
"Missouri","Atchison",42633,5382,1,185.804533630621,2.5,9.4,39.6,28.5,22.5
"Missouri","Barry",34540,35662,1,28.0410521002748,3,17.8,40.9,26.9,14.5
"Missouri","Bates",38864,16584,3,180.897250361794,3.8,13.3,46.2,25.6,14.9
"Missouri","Benton",35973,18806,3,159.523556311815,4.5,14.1,40.8,31.6,13.4
"Missouri","Bollinger",32454,12394,2,161.368404066484,3.6,20.6,46.5,23.5,9.4
"Missouri","Boone",47687,172717,77,445.815988003497,2.3,5.8,21.2,27,46
"Missouri","Buchanan",39810,89486,14,156.449053483226,3,11.8,37,30.5,20.7
"Missouri","Butler",35302,42972,5,116.354835706972,4.6,17.4,36,32.8,13.8
"Missouri","Caldwell",37301,9034,1,110.692937790569,3.1,9.8,43.2,28.7,18.3
"Missouri","Callaway",38686,44750,19,424.581005586592,2.9,14.1,37.2,26.4,22.2
"Missouri","Camden",38794,44021,24,545.194339065446,4.2,10.9,37.7,29.7,21.8
"Missouri","Cape Girardeau",46314,78043,20,256.268979921325,2.8,9.3,32.1,28.1,30.5
"Missouri","Carter",32045,6258,3,479.386385426654,5.1,16.9,37.3,29.3,16.5
"Missouri","Cass",47151,100889,25,247.797083923916,3.1,7.6,33.1,33.1,26.1
"Missouri","Cedar",31664,13952,7,501.720183486239,3.4,15.6,40.2,28.9,15.3
"Missouri","Chariton",42227,7694,4,519.885625162464,2.8,10,48.9,22.7,18.4
"Missouri","Christian",40301,82101,17,207.062033349168,2.6,8.1,30.4,33.3,28.2
"Missouri","Clark",34516,6917,1,144.571345959231,3.9,14.9,44,27.6,13.5
"Missouri","Clay",48381,233682,37,158.334831095249,2.9,6.8,28.8,31.6,32.7
"Missouri","Clinton",42988,20299,8,394.108084142076,3.2,8.4,39.4,32.8,19.4
"Missouri","Cole",47790,76557,32,417.9892106535,2.5,8.1,30.7,28.3,32.9
"Missouri","Cooper",38916,17585,2,113.733295422235,3.1,11,38.8,28.7,21.4
"Missouri","Crawford",36090,24650,3,121.703853955375,3.9,22.9,39.3,26.5,11.2
"Missouri","Dallas",33184,16389,1,61.0165354811154,3.9,18,42.1,27.5,12.4
"Missouri","DeKalb",28294,12692,1,78.7897888433659,3.1,12.9,45.4,26.4,15.3
"Missouri","Dunklin",34129,31344,8,255.232261357836,5.5,24.5,37.4,25,13.1
"Missouri","Franklin",45719,102084,35,342.85490380471,3.1,12,32.8,35.2,20.1
"Missouri","Gasconade",40316,14866,2,134.535180949818,2.9,12.7,39.3,29.1,18.9
"Missouri","Gentry",41470,6826,1,146.498681511866,2.4,10.8,43,28.1,18
"Missouri","Greene",44837,285865,72,251.867140083606,2.6,8.4,28.2,33.3,30.2
"Missouri","Harrison",38274,8639,4,463.016552841764,3.1,12.8,45.8,25.2,16.2
"Missouri","Henry",43018,22028,2,90.7935355002724,3.6,12.1,42.5,30,15.5
"Missouri","Howard",38796,10159,1,98.4348853233586,2.8,11.6,38.5,25.5,24.4
"Missouri","Howell",34055,40173,4,99.5693625071565,3.6,12.7,39.6,31.2,16.5
"Missouri","Jackson",47054,683191,162,237.122561626251,3.7,9.7,28.4,31,30.9
"Missouri","Jefferson",42780,222716,92,413.082131503799,3.1,11.2,31.8,36.9,20.2
"Missouri","Johnson",36777,54362,33,607.041683528936,3.7,8,30.3,33.3,28.4
"Missouri","Lafayette",42119,32688,28,856.583455702398,3.2,9.4,43.2,27.4,20.1
"Missouri","Lincoln",40788,54249,24,442.40446828513,3.3,11.7,42.2,30.2,15.9
"Missouri","Linn",40356,12311,3,243.684509787994,4.7,11,46,27.5,15.4
"Missouri","Livingston",39805,15053,1,66.4319404769813,2.5,14,38.7,27.9,19.3
"Missouri","Macon",42414,15479,2,129.207313133923,2.9,12.4,44.4,27.5,15.7
"Missouri","Madison",36865,12368,1,80.8538163001294,3.6,17.8,34.4,32.6,15.1
"Missouri","Maries",33348,9013,2,221.901697547986,3.3,13.6,40.3,32,14.1
"Missouri","McDonald",28018,22800,3,131.578947368421,3,23.5,40.6,24.1,11.8
"Missouri","Moniteau",37533,15856,4,252.270433905146,3,15.8,42.3,22.9,19
"Missouri","Montgomery",40396,11841,5,422.261633307998,2.9,15.8,44.8,25.7,13.7
"Missouri","Morgan",42873,20240,1,49.4071146245059,4.3,20.7,40.1,26.4,12.9
